n_components,rmsecv,r2cv,auc,accuracy
1,0.3346509030,0.5520327031,0.9400028268,0.8504618938
2,0.3060939916,0.6252238743,0.9577532962,0.8718244804
3,0.2980727899,0.6446085522,0.9626256080,0.8839491917
4,0.2888176243,0.6663357400,0.9684219790,0.9006928406
5,0.2779035025,0.6910769255,0.9790733274,0.9237875289
6,0.2745881136,0.6984038628,0.9796920336,0.9295612009
7,0.2669324181,0.7149868165,0.9840043096,0.9359122402
8,0.2638026893,0.7216310797,0.9849123677,0.9359122402
9,0.2588011263,0.7320864791,0.9889152906,0.9457274827
10,0.2546918501,0.7405268621,0.9887419462,0.9486143187
11,0.2518598748,0.7462650605,0.9909234191,0.9520785219
12,0.2497106643,0.7505770061,0.9903793843,0.9566974596
13,0.2471040621,0.7557570273,0.9909580880,0.9549653580
14,0.2456243940,0.7586733412,0.9911087643,0.9526558891
15,0.2440921050,0.7616749059,0.9920061551,0.9613163972
